OP;MARCA;ARTICULO;DESCRIPCION;RUBRO;STOCK_TXT;PVC;IVA;II;MKUP;PVL;OFF_PVC;OFF_PVL;IMAGEN_URL_1;IMAGEN_URL_2;IMAGEN_URL_3;IMAGEN_URL_4;IMAGEN_URL_5;NUEVO_INGRESO;CONDICION
5596;SEETRONIC;SLDF4;"Conector | Speakon | 4 contactos | hembra p/ cable  hasta 6mm |  30A | Carcaza Metalica | Cromado | IP54 | 
";Cables y Mangueras de Sonido;>10;12683.4;0.21;0;0.45;22253.025;0.1;0.1;https://todomusica.com.ar/28250-large_default/img.jpg;https://todomusica.com.ar/28250-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SLDM4;"Conector | Speakon | 4 contactos | Macho p/ cable  hasta 6mm |  aro Azul |30A | Carcaza Metalica | Cromado | IP54 | 
 
";Cables y Mangueras de Sonido;>10;13888.27;0.21;0;0.45;24366.968;0.1;0.1;https://todomusica.com.ar/28251-large_default/img.jpg;https://todomusica.com.ar/28251-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SL4FX-N;Conector | Speakon | 4 contactos | Macho p/ cable | 40 A /rms | p/cable de 7-14,5 mmO.D |  c: AZUL |;Cables y Mangueras de Sonido;>10;3800.81;0.21;0;0.45;6668.516;0.1;0.1;https://todomusica.com.ar/14023-large_default/img.jpg;https://todomusica.com.ar/14023-large_default/img.jpg;;;;;INGRESANDO|OFERTA|MAS_VENDIDO
5596;SEETRONIC;SL4MP;Conector | Speakon | 4 contactos | macho p/ chasis | Cuadrado;Cables y Mangueras de Sonido;>10;2389.08;0.21;0;0.45;4191.646;0.1;0.1;https://todomusica.com.ar/7964-large_default/img.jpg;https://todomusica.com.ar/7964-large_default/img.jpg;;;;;INGRESANDO|OFERTA|MAS_VENDIDO
5596;SEETRONIC;SOM-SOM-4CH-OM4-5A-150-R-2;Rollo de Cable Fibra Óptica en Carretel | Protección Militar  | 150 metros | 4 Hilos | Multimodo  | Conectores LC Dual en 2xSO2M | Vaina Caucho 5 mm | Cableado Parallelo;Cables y Mangueras de Sonido;<10;1914882.77;0.21;0;0.45;3359661.824;0.1;0.1;https://todomusica.com.ar/31344-large_default/img.jpg, https://todomusica.com.ar/31345-large_default/img.jpg, https://todomusica.com.ar/31346-large_default/img.jpg;https://todomusica.com.ar/31344-large_default/img.jpg;https://todomusica.com.ar/31345-large_default/img.jpg;https://todomusica.com.ar/31346-large_default/img.jpg;;;OFERTA
5596;SEETRONIC;SO2DF;2-CHANNEL FIBER OPTIC SOCKET;Cables y Mangueras de Sonido;>10;125995.45;0.21;0;0.45;221059.014;0.1;0.1;https://todomusica.com.ar/32125-large_default/img.jpg;https://todomusica.com.ar/32125-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;SO2M-SO2M-4CH-SM-5A-150-B-2;Rollo de Cable Fibra Óptica | sin carrete | Protección Militar | 150 metros | 4 Hilos | Mono modo  | Conectores LC Dual en 2xSO2M | Vaina Caucho 5 mm | Cableado Parallelo;Cables y Mangueras de Sonido;>10;1457120.81;0.21;0;0.45;2556518.456;0.1;0.1;https://todomusica.com.ar/31337-large_default/img.jpg, https://todomusica.com.ar/31338-large_default/img.jpg, https://todomusica.com.ar/31339-large_default/img.jpg;https://todomusica.com.ar/31337-large_default/img.jpg;https://todomusica.com.ar/31338-large_default/img.jpg;https://todomusica.com.ar/31339-large_default/img.jpg;;;OFERTA
5596;SEETRONIC;SO2M-SO2M-4CH-SM-5A-300-R-2;Rollo de Cable Fibra Óptica en Carretel | Protección Militar | 300 metros | 4 Hilos | Mono modo  | Conectores LC Dual en 2xSO2M | Vaina Caucho 5 mm | Cableado Parallelo;Cables y Mangueras de Sonido;>10;2106733.03;0.21;0;0.45;3696263.097;0.1;0.1;https://todomusica.com.ar/31063-large_default/img.jpg, https://todomusica.com.ar/31341-large_default/img.jpg, https://todomusica.com.ar/31342-large_default/img.jpg, https://todomusica.com.ar/31343-large_default/img.jpg;https://todomusica.com.ar/31063-large_default/img.jpg;https://todomusica.com.ar/31341-large_default/img.jpg;https://todomusica.com.ar/31342-large_default/img.jpg;https://todomusica.com.ar/31343-large_default/img.jpg;;OFERTA
5596;SEETRONIC;ST101;Conector | Mini XLR | 3 pines | (hembra para cable);Cables y Mangueras de Sonido;>10;2844.14;0.21;0;0.45;4990.04;0.1;0.1;https://todomusica.com.ar/28241-large_default/img.jpg;https://todomusica.com.ar/28241-large_default/img.jpg;;;;;OFERTA
5596;SEETRONIC;ST102-4P;Conector | Mini XLR | 4 pines | (macho para cable) ;Cables y Mangueras de Sonido;>10;2844.14;0.21;0;0.45;4990.04;0.1;0.1;https://todomusica.com.ar/28243-large_default/img.jpg;https://todomusica.com.ar/28243-large_default/img.jpg;;;;;OFERTA
